Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),2.0000
Water Temp (deg C),23.83
Room Temp (deg C),24.83
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,23.83
30.00,23.83
60.00,23.83
90.00,23.82
120.00,23.84
150.00,23.83
180.00,23.84
210.00,23.82
240.00,23.84
270.00,23.85
300.00,23.85
330.00,24.98
360.00,26.83
390.00,28.35
420.00,29.40
450.00,30.08
480.00,30.49
510.00,30.76
540.00,30.90
570.00,30.99
600.00,31.04
630.00,31.10
660.00,31.13
690.00,31.13
720.00,31.11
750.00,31.11
780.00,31.08
810.00,31.07
840.00,31.08
870.00,31.07
900.00,31.09
930.00,31.08
960.00,31.05
